Name,Value,MOE
Total consumer expenditures per household ,72977.6,
Consumer expenditures per household on Alcoholic beverages,498.12,
Consumer expenditures per household on Alcoholic beverages consumed at home,335.41,
Consumer expenditures per household on Beer consumed away from home,65.44,
Consumer expenditures per household on Wine consumed away from home,32.19,
Consumer expenditures per household on Apparel & services,1685.05,
Consumer expenditures per household on Men's Apparel,309.01,
Consumer expenditures per household on Women's Apparel,574.57,
Consumer expenditures per household on Children's Apparel,266.33,
Consumer expenditures per household on Boys' Apparel,93.25,
Consumer expenditures per household on Girls' Apparel,97.5,
Consumer expenditures per household on Footware,374.54,
Consumer expenditures per household on Dining out (Food away from home),2917.6,
Consumer expenditures per household on Dining out - Breakfast,289.43,
Consumer expenditures per household on Dining out - Lunch,888.5,
Consumer expenditures per household on Dining out - Dinner,1432.73,
Consumer expenditures per household on Education,1248.98,
Consumer expenditures per household on Entertainment / Recreation,3050.64,
Consumer expenditures per household on Club membership fees,203.35,
Consumer expenditures per household on Dating services,0.72,
Consumer expenditures per household on Pet food,326.21,
Consumer expenditures per household on Pet services,65.92,
Consumer expenditures per household on Food consumed at home,5502.74,
Consumer expenditures per household on Bakery products consumed at home,716.82,
Consumer expenditures per household on Dairy products consumed at home,526.45,
Consumer expenditures per household on Fruits and vegetables consumed at home,1056.25,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1194.19,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,552.96,
Consumer expenditures per household on Snacks and other food products consumed at home,2009.03,
Consumer expenditures per household on Health Care,6294.56,
Consumer expenditures per household on Medical services,1104.71,
Consumer expenditures per household on Nonprescription drugs,155.33,
Consumer expenditures per household on Household Services,2066,
Consumer expenditures per household on Care for the elderly and handicapped,39.02,
Consumer expenditures per household on Lawn and garden services,565.26,
Consumer expenditures per household on Housekeeping services,146.1,
Consumer expenditures per household on PC repair,4.43,
Consumer expenditures per household on Housing,23431.17,
Consumer expenditures per household on Home improvements,3782.51,
"Consumer expenditures per household on Utilities, fuel, and public services",4970.3,
Consumer expenditures per household on Phone services,1668.56,
Consumer expenditures per household on Water,789.31,
Consumer expenditures per household on Life and other insurance,583.22,
Consumer expenditures per household on Pensions and social security,7415.58,
Consumer expenditures per household on Personal Care Products and Services,733.79,
Consumer expenditures per household on Hair care products,75.87,
Consumer expenditures per household on Personal care products,303.54,
Consumer expenditures per household on Local Transportation,8628.79,
Consumer expenditures per household on Gasoline,2114.67,
Consumer expenditures per household on Vehicle maintenance and repair,1085.97,
Consumer expenditures per household on Travel,1734.43,
Consumer expenditures per household on Airline fares,330.63,
Consumer expenditures per household on Auto/Truck rental on trips,58.72,
Consumer expenditures per household on Lodging on trips,573.09,
Consumer expenditures per household on Food and drink on trips,432.74,
Consumer expenditures per household on Entertainment on trips,102.29,
