Name,Value,MOE
Median household income,59609,377
Average income,82992,646
Percent high school degree or higher,87.7,0.2
Percent Bachelor's degree or higher,27.2,0.3
Average household size,2.53,
Percent in poverty,15.7,0.2
Percent population 16 years and over in labor force,58,0.2
Percent employed,54.6,0.2
Percent disabled,16.2,0.1
Percent with health coverage,90.5,0.2
Percent of all workers 16 and over who commute to work,93.3,0.3
Percent who drive alone to work,82.8,0.3
Percent who carpool to work,8.1,0.2
Percent who use public transportation to commute to work,0.3,0
Percent who walk to work,1.1,0.1
Percent who use other means to commute to work,1,0.1
Percent who work from home,6.7,0.2
Average travel time to work (mins),25.3,0.2
Percent with no vehicles available,5.6,0.1
Percent with 1 vehicle available,31.4,0.3
Percent with 2 or more vehicles available,63.1,0.4
Percent veterans,8.1,0.1
Percent foreign born,3.5,
Percent speaking Spanish at home,3.4,0.1
Percent speaking other Indo-European languages at home,0.9,0
Percent speaking other Asian and Pacific Island languages at home,0.9,0
