Name,Value,MOE
Median household income,56335,422
Average income,79592,943
Percent high school degree or higher,88.2,0.2
Percent Bachelor's degree or higher,24.7,0.3
Average household size,2.51,
Percent in poverty,16.2,0.2
Percent population 16 years and over in labor force,58.2,0.3
Percent employed,54.9,0.3
Percent disabled,17.7,0.2
Percent with health coverage,91.2,0.2
Percent of all workers 16 and over who commute to work,93.3,0.3
Percent who drive alone to work,80.7,0.2
Percent who carpool to work,9.6,0.3
Percent who use public transportation to commute to work,0.3,0
Percent who walk to work,1.5,0.1
Percent who use other means to commute to work,1.2,0.1
Percent who work from home,6.7,0.2
Average travel time to work (mins),22.2,0.2
Percent with no vehicles available,6,0.2
Percent with 1 vehicle available,32.5,0.4
Percent with 2 or more vehicles available,61.5,0.5
Percent veterans,7.9,0.1
Percent foreign born,5,
Percent speaking Spanish at home,5.6,0.1
Percent speaking other Indo-European languages at home,0.8,0.1
Percent speaking other Asian and Pacific Island languages at home,1.2,0.1
