Name,Value,MOE
Median household income,101722,1569
Average income,150292,2244
Percent high school degree or higher,92.7,0.4
Percent Bachelor's degree or higher,62.6,0.7
Average household size,2.03,
Percent in poverty,15.1,0.6
Percent population 16 years and over in labor force,72,0.4
Percent employed,66.3,0.5
Percent disabled,11,0.4
Percent with health coverage,96.6,0.2
Percent of all workers 16 and over who commute to work,75,1.2
Percent who drive alone to work,29.7,0.8
Percent who carpool to work,4.5,0.3
Percent who use public transportation to commute to work,24.7,0.7
Percent who walk to work,10.3,0.5
Percent who use other means to commute to work,5.9,0.4
Percent who work from home,25,0.8
Average travel time to work (mins),30.5,0.7
Percent with no vehicles available,35.7,0.8
Percent with 1 vehicle available,45.9,0.8
Percent with 2 or more vehicles available,18.4,0.6
Percent veterans,4,0.2
Percent foreign born,13.4,
Percent speaking Spanish at home,9.2,0.2
Percent speaking other Indo-European languages at home,4.1,0.2
Percent speaking other Asian and Pacific Island languages at home,2.1,0.1
