Name,Value,MOE
Total consumer expenditures per household ,71819.61,
Consumer expenditures per household on Alcoholic beverages,495.31,
Consumer expenditures per household on Alcoholic beverages consumed at home,330.49,
Consumer expenditures per household on Beer consumed away from home,66.12,
Consumer expenditures per household on Wine consumed away from home,32.56,
Consumer expenditures per household on Apparel & services,1685.59,
Consumer expenditures per household on Men's Apparel,309.12,
Consumer expenditures per household on Women's Apparel,572.8,
Consumer expenditures per household on Children's Apparel,265.38,
Consumer expenditures per household on Boys' Apparel,92.68,
Consumer expenditures per household on Girls' Apparel,97.11,
Consumer expenditures per household on Footware,377.41,
Consumer expenditures per household on Dining out (Food away from home),2903.64,
Consumer expenditures per household on Dining out - Breakfast,289.49,
Consumer expenditures per household on Dining out - Lunch,879.75,
Consumer expenditures per household on Dining out - Dinner,1426.8,
Consumer expenditures per household on Education,1249.5,
Consumer expenditures per household on Entertainment / Recreation,2959.73,
Consumer expenditures per household on Club membership fees,201.39,
Consumer expenditures per household on Dating services,0.76,
Consumer expenditures per household on Pet food,294.13,
Consumer expenditures per household on Pet services,65,
Consumer expenditures per household on Food consumed at home,5415.28,
Consumer expenditures per household on Bakery products consumed at home,703.13,
Consumer expenditures per household on Dairy products consumed at home,516.61,
Consumer expenditures per household on Fruits and vegetables consumed at home,1042.71,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1176.34,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,542.71,
Consumer expenditures per household on Snacks and other food products consumed at home,1976.49,
Consumer expenditures per household on Health Care,6068.34,
Consumer expenditures per household on Medical services,1073.75,
Consumer expenditures per household on Nonprescription drugs,148.97,
Consumer expenditures per household on Household Services,2015.91,
Consumer expenditures per household on Care for the elderly and handicapped,38.85,
Consumer expenditures per household on Lawn and garden services,532.61,
Consumer expenditures per household on Housekeeping services,142.03,
Consumer expenditures per household on PC repair,4.37,
Consumer expenditures per household on Housing,23285.43,
Consumer expenditures per household on Home improvements,3632.51,
"Consumer expenditures per household on Utilities, fuel, and public services",4851.83,
Consumer expenditures per household on Phone services,1641.33,
Consumer expenditures per household on Water,772.01,
Consumer expenditures per household on Life and other insurance,560.22,
Consumer expenditures per household on Pensions and social security,7300.46,
Consumer expenditures per household on Personal Care Products and Services,731.98,
Consumer expenditures per household on Hair care products,75.87,
Consumer expenditures per household on Personal care products,304.15,
Consumer expenditures per household on Local Transportation,8440.02,
Consumer expenditures per household on Gasoline,2060.17,
Consumer expenditures per household on Vehicle maintenance and repair,1062.45,
Consumer expenditures per household on Travel,1701.66,
Consumer expenditures per household on Airline fares,330.55,
Consumer expenditures per household on Auto/Truck rental on trips,58.63,
Consumer expenditures per household on Lodging on trips,557.67,
Consumer expenditures per household on Food and drink on trips,424.43,
Consumer expenditures per household on Entertainment on trips,100.34,
