Name,Value,MOE
Median household income,57852,468
Average income,83169,796
Percent high school degree or higher,86.7,0.2
Percent Bachelor's degree or higher,26.1,0.3
Average household size,2.56,
Percent in poverty,18.7,0.3
Percent population 16 years and over in labor force,59.2,0.2
Percent employed,54.9,0.2
Percent disabled,15.8,0.1
Percent with health coverage,91.9,0.2
Percent of all workers 16 and over who commute to work,93.8,0.3
Percent who drive alone to work,80.3,0.3
Percent who carpool to work,8.7,0.2
Percent who use public transportation to commute to work,1,0.1
Percent who walk to work,1.9,0.1
Percent who use other means to commute to work,1.8,0.1
Percent who work from home,6.2,0.2
Average travel time to work (mins),26,0.2
Percent with no vehicles available,8.3,0.2
Percent with 1 vehicle available,36.7,0.3
Percent with 2 or more vehicles available,55,0.4
Percent veterans,6.5,0.1
Percent foreign born,4.2,
Percent speaking Spanish at home,3.7,0.1
Percent speaking other Indo-European languages at home,2.3,0.1
Percent speaking other Asian and Pacific Island languages at home,1.2,0
