Name,Value,MOE
Total consumer expenditures per household ,64259.56,
Consumer expenditures per household on Alcoholic beverages,429.29,
Consumer expenditures per household on Alcoholic beverages consumed at home,289.4,
Consumer expenditures per household on Beer consumed away from home,55.86,
Consumer expenditures per household on Wine consumed away from home,27.24,
Consumer expenditures per household on Apparel & services,1481.69,
Consumer expenditures per household on Men's Apparel,269.58,
Consumer expenditures per household on Women's Apparel,504.16,
Consumer expenditures per household on Children's Apparel,238.13,
Consumer expenditures per household on Boys' Apparel,84.66,
Consumer expenditures per household on Girls' Apparel,86.62,
Consumer expenditures per household on Footware,329.37,
Consumer expenditures per household on Dining out (Food away from home),2576.02,
Consumer expenditures per household on Dining out - Breakfast,257.65,
Consumer expenditures per household on Dining out - Lunch,791.82,
Consumer expenditures per household on Dining out - Dinner,1262.39,
Consumer expenditures per household on Education,1060.73,
Consumer expenditures per household on Entertainment / Recreation,2678.09,
Consumer expenditures per household on Club membership fees,173.82,
Consumer expenditures per household on Dating services,0.64,
Consumer expenditures per household on Pet food,284.91,
Consumer expenditures per household on Pet services,56.77,
Consumer expenditures per household on Food consumed at home,4899.08,
Consumer expenditures per household on Bakery products consumed at home,638.98,
Consumer expenditures per household on Dairy products consumed at home,465.79,
Consumer expenditures per household on Fruits and vegetables consumed at home,935.46,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1065.87,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,497.73,
Consumer expenditures per household on Snacks and other food products consumed at home,1792.97,
Consumer expenditures per household on Health Care,5597.63,
Consumer expenditures per household on Medical services,969.58,
Consumer expenditures per household on Nonprescription drugs,139.96,
Consumer expenditures per household on Household Services,1814.65,
Consumer expenditures per household on Care for the elderly and handicapped,33.54,
Consumer expenditures per household on Lawn and garden services,494.4,
Consumer expenditures per household on Housekeeping services,124.78,
Consumer expenditures per household on PC repair,3.9,
Consumer expenditures per household on Housing,20519.53,
Consumer expenditures per household on Home improvements,3283.07,
"Consumer expenditures per household on Utilities, fuel, and public services",4472.59,
Consumer expenditures per household on Phone services,1496.87,
Consumer expenditures per household on Water,705.59,
Consumer expenditures per household on Life and other insurance,516.3,
Consumer expenditures per household on Pensions and social security,6440.45,
Consumer expenditures per household on Personal Care Products and Services,642.83,
Consumer expenditures per household on Hair care products,65.93,
Consumer expenditures per household on Personal care products,263.4,
Consumer expenditures per household on Local Transportation,7732.69,
Consumer expenditures per household on Gasoline,1910.46,
Consumer expenditures per household on Vehicle maintenance and repair,964.48,
Consumer expenditures per household on Travel,1508.75,
Consumer expenditures per household on Airline fares,282.07,
Consumer expenditures per household on Auto/Truck rental on trips,50.53,
Consumer expenditures per household on Lodging on trips,501.93,
Consumer expenditures per household on Food and drink on trips,376.66,
Consumer expenditures per household on Entertainment on trips,88.54,
