Name,Value,MOE
Median household income,52985,527
Average income,74149,837
Percent high school degree or higher,86.2,0.3
Percent Bachelor's degree or higher,23.9,0.3
Average household size,2.55,
Percent in poverty,19.2,0.3
Percent population 16 years and over in labor force,57.2,0.3
Percent employed,53,0.3
Percent disabled,17.2,0.2
Percent with health coverage,88.2,0.2
Percent of all workers 16 and over who commute to work,95.5,0.3
Percent who drive alone to work,83.6,0.3
Percent who carpool to work,8.9,0.3
Percent who use public transportation to commute to work,0.3,0
Percent who walk to work,1.3,0.1
Percent who use other means to commute to work,1.5,0.1
Percent who work from home,4.5,0.2
Average travel time to work (mins),25.4,0.3
Percent with no vehicles available,6.1,0.2
Percent with 1 vehicle available,32.2,0.4
Percent with 2 or more vehicles available,61.7,0.4
Percent veterans,6.9,0.1
Percent foreign born,2.3,
Percent speaking Spanish at home,2.4,0.1
Percent speaking other Indo-European languages at home,0.6,0.1
Percent speaking other Asian and Pacific Island languages at home,0.6,0
