Name,Value,MOE
Median household income,97126,605
Average income,135170,837
Percent high school degree or higher,90.6,0.1
Percent Bachelor's degree or higher,42.3,0.2
Average household size,2.64,
Percent in poverty,9.7,0.2
Percent population 16 years and over in labor force,66.1,0.1
Percent employed,61.8,0.1
Percent disabled,10.6,0.1
Percent with health coverage,92.5,0.1
Percent of all workers 16 and over who commute to work,86.9,0.3
Percent who drive alone to work,65.4,0.2
Percent who carpool to work,7.6,0.1
Percent who use public transportation to commute to work,9,0.1
Percent who walk to work,2.6,0.1
Percent who use other means to commute to work,2.3,0.1
Percent who work from home,13.1,0.1
Average travel time to work (mins),31.1,0.2
Percent with no vehicles available,11.3,0.1
Percent with 1 vehicle available,34.5,0.2
Percent with 2 or more vehicles available,54.2,0.3
Percent veterans,4.1,0.1
Percent foreign born,23.2,
Percent speaking Spanish at home,16.6,0.1
Percent speaking other Indo-European languages at home,8.6,0.1
Percent speaking other Asian and Pacific Island languages at home,5,0.1
