Name,Value,MOE
Median household income,96505,551
Average income,134568,790
Percent high school degree or higher,91.2,0.1
Percent Bachelor's degree or higher,45.9,0.3
Average household size,2.46,
Percent in poverty,9.9,0.2
Percent population 16 years and over in labor force,67.1,0.1
Percent employed,63.5,0.1
Percent disabled,11.9,0.1
Percent with health coverage,97.3,0.1
Percent of all workers 16 and over who commute to work,85.4,0.3
Percent who drive alone to work,64.2,0.2
Percent who carpool to work,7,0.1
Percent who use public transportation to commute to work,7.6,0.1
Percent who walk to work,4.3,0.1
Percent who use other means to commute to work,2.3,0.1
Percent who work from home,14.6,0.2
Average travel time to work (mins),29.4,0.2
Percent with no vehicles available,11.9,0.2
Percent with 1 vehicle available,35.5,0.2
Percent with 2 or more vehicles available,52.6,0.3
Percent veterans,4.7,0.1
Percent foreign born,17.6,
Percent speaking Spanish at home,9.5,0.1
Percent speaking other Indo-European languages at home,9.1,0.2
Percent speaking other Asian and Pacific Island languages at home,4.4,0.1
