Name,Value,MOE
Median household income,90325,433
Average income,122880,694
Percent high school degree or higher,92.1,0.1
Percent Bachelor's degree or higher,38,0.3
Average household size,2.53,
Percent in poverty,9.9,0.2
Percent population 16 years and over in labor force,64.6,0.1
Percent employed,60.4,0.1
Percent disabled,13,0.1
Percent with health coverage,93.6,0.1
Percent of all workers 16 and over who commute to work,84.5,0.2
Percent who drive alone to work,65.9,0.2
Percent who carpool to work,8.9,0.1
Percent who use public transportation to commute to work,4.6,0.1
Percent who walk to work,3.2,0.1
Percent who use other means to commute to work,1.9,0.1
Percent who work from home,15.5,0.2
Average travel time to work (mins),27.3,0.1
Percent with no vehicles available,6.9,0.1
Percent with 1 vehicle available,29.6,0.2
Percent with 2 or more vehicles available,63.5,0.3
Percent veterans,8.4,0.1
Percent foreign born,14.9,
Percent speaking Spanish at home,8.7,0.1
Percent speaking other Indo-European languages at home,4.2,0.1
Percent speaking other Asian and Pacific Island languages at home,6.3,0.1
