Geography,FIPS,Estimate (Consumer expenditures per household on Entertainment / Recreation),Estimate (Percent working age (25 to 64 years))
Alabama,1,3050.64,50.9
Arizona,4,3641.95,49.9
Arkansas,5,2973.2,50.1
California,6,4509.62,53.3
Colorado,8,4266.24,54.2
Connecticut,9,4450.8,52.4
Delaware,10,3745.11,50.9
District of Columbia,11,5190.11,59.7
Florida,12,3452.43,51.1
Georgia,13,3603.21,52.4
Idaho,16,3541.92,49.1
Illinois,17,3838.3,52.3
Indiana,18,3324.35,50.6
Iowa,19,3627.74,49.3
Kansas,20,3479.47,49.3
Kentucky,21,3068.9,51.3
Louisiana,22,2959.73,51.2
Maine,23,3514.31,52.1
Maryland,24,4636.97,53.1
Massachusetts,25,4722.96,53.3
Michigan,26,3443.44,51.2
Minnesota,27,4107.93,51.5
Mississippi,28,2678.09,50
Missouri,29,3398,51
Montana,30,3527.62,50.1
Nebraska,31,3719.18,49.3
Nevada,32,3458.3,53.2
New Hampshire,33,4263.57,53.3
New Jersey,34,4694.21,52.9
New Mexico,35,3083.62,49.8
New York,36,4055.92,53.1
North Carolina,37,3450.48,51.8
North Dakota,38,3646.83,49.3
Ohio,39,3353.46,51.2
Oklahoma,40,3052.04,50.1
Oregon,41,3800.84,52.6
Pennsylvania,42,3736.78,51.5
Rhode Island,44,3866.33,52.6
South Carolina,45,3208.6,50.8
South Dakota,46,3565.66,48.9
Tennessee,47,3320.04,52
Texas,48,3631.56,51.8
Utah,49,3963.93,48.3
Vermont,50,3788.78,51
Virginia,51,4377.85,52.6
Washington,53,4509.82,53.6
West Virginia,54,2964.69,50.5
Wisconsin,55,3536.65,51.2
Wyoming,56,3356.14,50.3
