Name,Location,Categories,Rating,Price,Reviews
Unconventional Diner,"Washington, DC",New American,4.4,$$,2787
L'Ardente,"Washington, DC",Italian,4.5,,1104
Old Ebbitt Grill,"Washington, DC",Bars,4.2,$$,10772
Grazie Nonna,"Washington, DC",Italian,4.1,,452
Gypsy Kitchen DC,"Washington, DC",Tapas/Small Plates,4.3,,883
Le Diplomate,"Washington, DC",Brasseries,4.3,$$$,5255
G.O.A.T. Room,"Washington, DC",Indian,4.6,,108
ANJU,"Washington, DC",Korean,4.3,$$,537
Boqueria Penn Quarter,"Washington, DC",Spanish,4.3,$$,514
dLeña,"Washington, DC",Mexican,4.4,$$$,952
Umai Nori,"Washington, DC",Sushi Bars,4.9,,59
CR NoMa,"Washington, DC",Mediterranean,4.4,$$,170
Founding Farmers - Washington,"Washington, DC",American,4.0,$$,16944
The Best Sandwich Place,"Washington, DC",Breakfast & Brunch,4.5,$$,321
Baan Siam,"Washington, DC",Thai,4.5,$$,608
Pisco y Nazca Ceviche Gastrobar,"Washington, DC",Peruvian,4.6,$$,2490
The Hamilton,"Washington, DC",Seafood,3.9,$$,3554
Benitos Place,"Washington, DC",Latin American,4.8,$$,139
Mazi,"Washington, DC",New American,4.5,$$$,360
Sixty Vines,"Washington, DC",Wine Bars,4.6,,28
Love Makoto,"Washington, DC",Japanese,4.4,$$$$,293
Immigrant Food,"Washington, DC",New American,4.2,$$,197
Rumi’s Kitchen,"Washington, DC",Persian/Iranian,4.5,$$$,684
Reren,"Washington, DC",Ramen,4.0,$$,2346
Sampannee,"Washington, DC",Thai,4.3,,124
The Smith,"Washington, DC",New American,3.8,$$,1532
Astoria DC,"Washington, DC",Szechuan,4.3,$$,418
Coco Lezzone,"Washington, DC",Mediterranean,5.0,,54
A Baked Joint,"Washington, DC",Coffee & Tea,4.4,$$,2503
Georgetown Seafood,"Washington, DC",Seafood,4.8,,275
St James - Modern Caribbean,"Washington, DC",Caribbean,4.3,,318
Gordon Ramsay Street Pizza,"Washington, DC",Pizza,3.8,,39
Soupy Dumpling & Fancy Cuppa Bubble Tea,"Washington, DC",Chinese,4.6,,37
Da Hong Pao,"Washington, DC",Cantonese,3.8,$$,1049
Dumpling District,"Washington, DC",Dim Sum,4.2,,75
Cucina Morini,"Washington, DC",Italian,4.6,,45
Rice Bar,"Washington, DC",Korean,4.6,,225
Tiger Fork,"Washington, DC",Chinese,3.9,$$,877
Planta Cocina,"Washington, DC",Vegan,4.5,,31
St. Anselm,"Washington, DC",Steakhouses,4.4,$$$,986
Maydan,"Washington, DC",Moroccan,4.4,$$$$,1176
Pastis,"Washington, DC",French,4.4,,87
Commissary,"Washington, DC",Coffee & Tea,3.9,$$,1560
il Canale,"Washington, DC",Italian,4.3,$$,4751
The Capital Burger,"Washington, DC",Burgers,4.3,$$,933
JINYA Ramen Bar - Logan Circle,"Washington, DC",Ramen,4.1,$$,1283
Chiko,"Washington, DC",Chinese,4.4,$$,362
1914 By Kolben,"Washington, DC",Vietnamese,4.6,$$,133
Nina May,"Washington, DC",New American,4.4,$$$,398
Thip Khao,"Washington, DC",Laotian,4.4,$$,1420
Carmelina's,Boston,Italian,4.5,$$$,3701
The Salty Pig,Boston,New American,4.2,$$,1939
JiangNan Boston,Boston,Chinese,4.3,$$,221
Saltie Girl,Boston,Seafood,4.2,$$$,2182
Isabella Ristorante,Boston,Italian,4.5,$$,404
Krasi,Boston,Mediterranean,4.6,$$,464
Cafe Bonjour,Boston,Breakfast & Brunch,4.7,$$,866
Boston Sail Loft,Boston,Bars,4.3,$$,1542
Little Whale,Boston,Bars,4.3,,141
Neptune Oyster,Boston,Seafood,4.3,$$$,6336
