name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Baltimore, Maryland",2022-01-01,57.4,50.8,54.2,57.4,50.8,54.2,53.4,97.3,0.623,100,79.17,rain,0,0,28.9,9.9,55.8,1007.2,99.8,1.2,14.9,1.3,1,,2022-01-01T07:26:21,2022-01-01T16:54:02,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,KAPG,KMTN,C7109"
"Baltimore, Maryland",2022-01-02,62.8,45.5,56.9,62.8,42.4,56.5,52.3,85.2,0.111,100,79.17,rain,0,0,27.7,16.3,286.7,1006.2,94.8,8.7,44.1,3.7,3,,2022-01-02T07:26:28,2022-01-02T16:54:52,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,KAPG,KMTN"
"Baltimore, Maryland",2022-01-03,43.4,24.5,31.8,38.2,18.1,23.9,25.7,78.5,0.876,100,54.17,"rain,snow",1.3,0.7,26.4,15.2,350.8,1019.5,70.6,6.6,11.6,0.9,1,,2022-01-03T07:26:32,2022-01-03T16:55:44,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,F4457,72406793744,72033493764,KAPG,KMTN"
"Baltimore, Maryland",2022-01-04,33.2,16.5,26.4,32.7,15.7,24.2,20,76.7,0,0,0,snow,0.5,1.1,16.1,5.9,176.2,1029.3,23.6,9.9,141.2,12.1,7,,2022-01-04T07:26:34,2022-01-04T16:56:37,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,KAPG,KMTN,C7109"
"Baltimore, Maryland",2022-01-05,41.3,24.4,33.6,37,22.6,31.2,28.8,82.8,0.001,100,4.17,rain,0,0.6,19.7,8.6,219.3,1014,86.6,9.7,52.8,4.5,2,,2022-01-05T07:26:34,2022-01-05T16:57:31,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,72033493764,KAPG,KMTN"
"Baltimore, Maryland",2022-01-06,40.8,32.4,36.6,39.3,27,32.5,23.6,61.5,0,0,0,"rain,snow",0.7,0.8,20.8,9.5,308.7,1012.6,71.9,9.6,88,7.8,4,,2022-01-06T07:26:32,2022-01-06T16:58:26,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,72033493764,KAPG,KMTN"
"Baltimore, Maryland",2022-01-07,34.4,22.2,28.5,27.6,12.7,18,17.9,65.3,0.177,100,20.83,"rain,snow",0.5,1.5,30.9,21.8,291.9,1017.6,53.3,8.2,136.4,11.8,6,,2022-01-07T07:26:28,2022-01-07T16:59:23,0.16,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,KAPG,KMTN"
"Baltimore, Maryland",2022-01-08,32.6,20,26.5,32.6,11.4,20.9,13.4,58.1,0,0,0,,0,0.7,,9.1,240.1,1035.1,11.4,9.9,125.1,10.7,5,,2022-01-08T07:26:21,2022-01-08T17:00:21,0.19,Clear,Clear conditions throughout the day.,clear-day,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,72033493764,KAPG,KMTN"
"Baltimore, Maryland",2022-01-09,42.8,29.5,36,38.6,23.7,32.5,30.9,81.6,0.295,100,41.67,rain,0,0.3,26.4,10.1,220.2,1023.8,82.9,8.4,29.3,2.5,1,,2022-01-09T07:26:13,2022-01-09T17:01:20,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,KAPG,KMTN"
"Baltimore, Maryland",2022-01-10,42.8,27.1,32.8,36.9,16,23.1,14.7,47.4,0,0,0,,0,0,34.7,21.9,294.5,1023.2,56.5,9.9,123.5,10.6,5,,2022-01-10T07:26:02,2022-01-10T17:02:20,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDMW,72405713701,C1550,72406093721,72069903724,KBWI,72406793744,72033493764,KAPG,KMTN"
