name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Huntsville, Alabama",2022-01-01,78.9,57.6,70,78.9,57.6,70,63.8,81.6,2.341,100,25,rain,0,0,35.5,26.8,201.2,1007.2,92.5,9.1,67.6,5.9,3,,2022-01-01T06:53:49,2022-01-01T16:46:24,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9186,KHSV,72323003856,KDCU,BRAA1,72227953852,72030763804,KMDQ,AAMA1"
"Huntsville, Alabama",2022-01-02,58,31.9,49.7,58,21.8,46.3,48.6,96.2,0.39,100,41.67,"rain,snow",0,0,24.2,16.6,340.6,1012.2,100,7.3,21.8,1.9,1,,2022-01-02T06:53:59,2022-01-02T16:47:10,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"F2925,D9186,KHSV,72323003856,TT397,BRAA1,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-03,31.8,24.6,29.9,25.9,18.2,21.7,26.3,86.6,0.08,100,37.5,"rain,snow",4.4,2.6,27.8,18.6,358.8,1026.9,90.6,8.9,9.9,0.9,1,,2022-01-03T06:54:07,2022-01-03T16:47:58,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KHSV,BRAA1,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-04,49.2,23.3,35.9,44.4,23.3,32.8,31.5,85,0,0,0,,0,2.7,19.7,13.2,175,1024.1,16.5,9.5,93.2,8,5,,2022-01-04T06:54:13,2022-01-04T16:48:46,0.06,Clear,Clear conditions throughout the day.,clear-day,"D9186,KHSV,72323003856,TT397,KDCU,KHUA,72227953852,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-05,53.9,36.5,43.8,53.9,33.1,41.4,39.6,85.8,0,0,0,,0,0.2,,9.3,213.7,1016.7,47.8,9.2,54.3,4.7,4,,2022-01-05T06:54:18,2022-01-05T16:49:36,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9186,KHSV,BRAA1,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-06,38.5,24,32.9,37.2,13.7,25.8,29.5,87.8,0.33,100,25,"rain,snow",0,0,22.2,16.6,11.4,1016.6,84.5,7.8,12.5,1,0,,2022-01-06T06:54:20,2022-01-06T16:50:27,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"KHSV,72323003856,TT397,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-07,33.2,19.9,25,27.9,9.8,17,17,71.9,0.034,100,4.17,snow,0,0,,11.1,23.5,1026.9,42.6,9.8,103.1,8.9,5,,2022-01-07T06:54:21,2022-01-07T16:51:18,0.16,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,rain,"D9186,KHSV,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-08,54.3,23,40.5,54.3,18.7,37.4,23.3,53.1,0,0,0,,0,0,24.2,16,154.8,1027.6,17.7,9.3,108.7,9.4,5,,2022-01-08T06:54:20,2022-01-08T16:52:11,0.2,Clear,Clear conditions throughout the day.,clear-day,"KHSV,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-09,59.1,38.9,49.7,59.1,31,45.9,45.8,87.2,0.686,100,54.17,rain,0,0,34.1,23,125.9,1024.2,96.5,8,9.9,0.9,1,,2022-01-09T06:54:17,2022-01-09T16:53:04,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHSV,KHUA,72030763804,KMDQ,72323163883,AAMA1"
"Huntsville, Alabama",2022-01-10,45.5,27.4,35.5,40.4,17.3,28.7,20.9,57.1,0,0,0,,0,0,21.7,15.4,12.8,1033,1.8,9.9,119.6,10.4,5,10,2022-01-10T06:54:12,2022-01-10T16:53:58,0.26,Clear,Clear conditions throughout the day.,clear-day,"KHSV,KHUA,72030763804,KMDQ,72323163883,AAMA1"
