name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jackson City, Mississippi",2022-01-01,84.7,71.1,75.8,87.1,71.1,76.2,67.8,77,0.005,100,4.17,rain,0,0,37.1,21.1,192,1006.9,80.9,9.8,60,5.2,3,,2022-01-01T07:02:11,2022-01-01T17:06:47,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72078700278,KJVW,MAYM6,72235413927,KHKS,72235003940,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-02,69.5,30.8,47.4,69.5,19.9,42.4,43,84.4,0.159,100,25,"rain,snow",0,0,36.6,19.7,324.6,1016.3,98.5,9.1,10.3,0.7,0,,2022-01-02T07:02:22,2022-01-02T17:07:32,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"72078700278,KJVW,72235413927,MAYM6,KHKS,72235003940,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-03,42.3,29.9,34.1,37.9,21.4,28.5,25.8,72.1,0,0,0,,0,0,24.2,13.3,338.2,1029.2,50.9,9.9,143.6,12.6,6,,2022-01-03T07:02:32,2022-01-03T17:08:18,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72078700278,KJVW,MAYM6,72235413927,KHKS,72235003940,MSS10,72248803996,KJAN"
"Jackson City, Mississippi",2022-01-04,51.6,27.5,37.2,51.6,21.5,33.6,28.8,74,0,0,0,,0,0,17.4,10.9,150.7,1023.6,19,9.4,148.4,12.8,6,,2022-01-04T07:02:41,2022-01-04T17:09:04,0.06,Clear,Clear conditions throughout the day.,clear-day,"72078700278,KJVW,MAYM6,72235413927,KHKS,72235003940,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-05,64.9,39.9,52.1,64.9,36,50.7,45.8,80.3,0,0,0,,0,0,15.7,7.7,147.1,1015.9,64.5,8.2,95.1,8.2,4,,2022-01-05T07:02:47,2022-01-05T17:09:52,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72078700278,KJVW,72235413927,MAYM6,KHKS,72235003940,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-06,58.6,34.2,47.4,58.6,27.3,44,43.7,87.1,0.013,100,4.17,rain,0,0,24.2,13.6,322.4,1015.8,97,9.2,26.1,2.2,2,,2022-01-06T07:02:52,2022-01-06T17:10:40,0.13,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72078700278,KJVW,72235413927,MAYM6,KHKS,KTVR,72235003940,MSS10,72248803996,KJAN"
"Jackson City, Mississippi",2022-01-07,47.1,31.1,37.6,44.5,24.7,33.3,27.1,67.1,0,0,0,,0,0,15.4,9.6,27.1,1025,44.7,9.9,135.6,11.9,6,,2022-01-07T07:02:55,2022-01-07T17:11:30,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72078700278,KJVW,MAYM6,72235413927,KHKS,72235003940,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-08,69.9,35.5,53.1,69.9,29.5,51,42.8,68.6,0,0,0,,0,0,29.3,20.2,139.3,1023.4,58.1,9.9,110.6,9.5,5,,2022-01-08T07:02:56,2022-01-08T17:12:20,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72078700278,KJVW,72235413927,MAYM6,KHKS,72235003940,MSS10,72248803996,KJAN"
"Jackson City, Mississippi",2022-01-09,72.5,47.9,62.9,72.5,43.4,62.2,59.4,88.5,1.367,100,25,rain,0,0,31.2,18.8,205.4,1022.3,95.5,8.4,43.8,3.7,2,,2022-01-09T07:02:56,2022-01-09T17:13:10,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72078700278,KJVW,MAYM6,72235413927,KHKS,KTVR,72235003940,MSS10,72248803996,KJAN"
"Jackson City, Mississippi",2022-01-10,53.1,34.3,43.4,53.1,29.2,39.5,24.1,49.1,0,0,0,,0,0,26.6,13.3,5.9,1033.1,16.4,9.9,145.5,12.5,6,10,2022-01-10T07:02:54,2022-01-10T17:14:02,0.26,Clear,Clear conditions throughout the day.,clear-day,"72078700278,KJVW,MAYM6,72235413927,KHKS,KTVR,72235003940,72248803996,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-11,55.5,29.6,41.3,55.5,29.6,41,26.3,60.2,0,0,0,freezingrain,0,0,11.4,7.4,15.2,1033.3,0,9.9,157.3,13.5,6,10,2022-01-11T07:02:50,2022-01-11T17:14:54,0.29,Clear,Clear conditions throughout the day.,clear-day,"72078700278,KJVW,MAYM6,72235413927,KHKS,72235003940,MSS10,KJAN"
"Jackson City, Mississippi",2022-01-12,59.9,33.1,44.7,59.9,31.9,44.4,29.8,60.4,0,0,0,,0,0,8.3,5.8,209.5,1026,3.7,9.9,146,12.4,6,10,2022-01-12T07:02:44,2022-01-12T17:15:46,0.33,Clear,Clear conditions throughout the day.,clear-day,"72078700278,KJVW,MAYM6,72235413927,KHKS,KTVR,72235003940,72248803996,MSS10,KJAN"
