name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
little rock,2022-01-01,70.1,43.1,59.5,70.1,36.2,58.8,56.6,90.3,1.138,100,45.83,rain,0,0,35.1,19.5,303.3,1005.4,94.9,7.4,8.4,0.8,0,,2022-01-01T07:16:37,2022-01-01T17:09:07,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72340503930,SDNA4,72340313963,KLRF,KSRC,KPBF,UAPA4,E9770,KLIT,LNKA4,72218853985"
little rock,2022-01-02,42.2,26,30.7,35.4,15.1,20.3,23.3,74,0.011,100,4.17,snow,0,0,31,19.5,328,1022.3,78.7,9.6,13.4,1.1,1,,2022-01-02T07:16:47,2022-01-02T17:09:53,0,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"72340503930,72340313963,KLRF,KSRC,KPBF,UAPA4,E9770,72341793988,KLIT,72218853985,LNKA4"
little rock,2022-01-03,42.1,20.9,30.8,40.5,11.4,26,17.3,58.6,0,0,0,,0,0,,9.9,22.2,1031.8,0,9.9,90.8,8,5,,2022-01-03T07:16:56,2022-01-03T17:10:41,0.03,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72340313963,KLRF,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-04,49.9,25.8,37.9,44.7,20,33.7,23.7,58.8,0,0,0,,0,0,21.9,14.7,180.6,1021.7,45.5,9.9,91.6,8,5,,2022-01-04T07:17:02,2022-01-04T17:11:30,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72340503930,SDNA4,72340313963,KLRF,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-05,61.8,34.8,46.9,61.8,32.3,45,28.3,51.2,0,0,0,,0,0,,13.6,13.5,1016.2,67.1,9.9,88.5,7.8,5,,2022-01-05T07:17:06,2022-01-05T17:12:19,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72340313963,KLRF,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-06,44.8,28,35.7,38.6,19.3,27.8,22.5,58.8,0.055,100,16.67,"rain,snow",0,0,21.9,16.7,18.1,1021.3,95.3,9.9,46,4,2,,2022-01-06T07:17:09,2022-01-06T17:13:10,0.13,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72340503930,SDNA4,72340313963,KLRF,KSRC,E9770,UAPA4,KLIT,72218853985,LNKA4"
little rock,2022-01-07,35,22.9,28.8,28.5,13,21,14.8,55.7,0,0,0,,0,0,,15.6,78.4,1027.8,71.1,9.9,80.4,7.1,4,,2022-01-07T07:17:09,2022-01-07T17:14:02,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72340313963,KLRF,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-08,58.9,31.8,42,58.9,23.5,38.3,34.5,74.9,0.619,100,41.67,rain,0,0,19.7,14.7,114.6,1021,100,7.2,14.4,1.3,1,,2022-01-08T07:17:08,2022-01-08T17:14:54,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72340503930,72341613925,72340313963,KLRF,KSGT,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-09,65.7,40.9,54.6,65.7,34.7,52.5,44.2,69.6,1.568,100,37.5,rain,0,0,33.9,19.5,2.4,1025.2,91.7,8.1,22,2,1,,2022-01-09T07:17:05,2022-01-09T17:15:48,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,LNKA4,KLIT"
little rock,2022-01-10,51.9,26.9,39.4,51.9,19.6,35.8,16.7,42.3,0,0,0,,0,0,,14.6,337.9,1037.4,21.6,9.9,87.3,7.7,4,,2022-01-10T07:17:00,2022-01-10T17:16:42,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-11,59.9,31.7,43.3,59.9,27.3,42.6,26.5,55.3,0,0,0,,0,0,,8,185.8,1033.4,2.2,9.9,86.7,7.4,4,,2022-01-11T07:16:53,2022-01-11T17:17:37,0.29,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-12,62.8,29.9,47.1,62.8,25,46.2,30.8,55.7,0,0,0,,0,0,19.7,13.7,224.4,1024.2,37.8,9.9,87.3,7.6,4,,2022-01-12T07:16:44,2022-01-12T17:18:33,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-13,71.8,38.8,54,71.8,33.8,52.5,32.9,48.2,0,0,0,,0,0,22.7,19.3,283.4,1017.4,47.2,9.9,89.3,7.8,4,,2022-01-13T07:16:34,2022-01-13T17:19:29,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,KSRC,UAPA4,E9770,KLIT"
little rock,2022-01-14,57.7,40.7,49.3,57.7,40.7,49.2,36.6,62.3,0,0,0,rain,0,0.1,,10.2,105.5,1016.4,95.1,9.9,69,5.9,4,,2022-01-14T07:16:21,2022-01-14T17:20:26,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-15,49.9,35,42.3,47.1,25.4,35.9,35.7,78,0.601,100,70.83,"rain,snow",0.1,0.4,31.1,19.4,327.6,1011.6,100,5.9,10,0.8,0,,2022-01-15T07:16:06,2022-01-15T17:21:24,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72340503930,SDNA4,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-16,47.8,35,39.8,42.4,26.2,32.3,29.7,67.9,0.084,100,16.67,"rain,snow",0.1,0.4,33.3,16.9,316.5,1014.8,42.9,9.1,100.7,8.8,5,,2022-01-16T07:15:50,2022-01-16T17:22:22,0.46,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"72340503930,72341613925,72340313963,KLRF,KSGT,E9770,UAPA4,LNKA4,KLIT"
little rock,2022-01-17,55,31.8,42.4,55,24.7,39.6,28.9,60.7,0,0,0,,0,0,19.7,16,296.3,1019,7.8,9.9,97.8,8.5,5,,2022-01-17T07:15:32,2022-01-17T17:23:20,0.5,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-18,65.7,30.7,48.4,65.7,27.5,47.9,33.6,59.3,0,0,0,,0,0,26.4,18,180.9,1016.7,56.8,9.9,82.6,7.2,5,,2022-01-18T07:15:12,2022-01-18T17:24:19,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-19,56,35.8,49.2,56,25.9,46.8,40.3,71.6,0.013,100,4.17,rain,0,0,33.9,19.6,22,1016.9,86.5,9.4,17.5,1.5,1,,2022-01-19T07:14:50,2022-01-19T17:25:19,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72340503930,72341613925,72340313963,KLRF,KSGT,KSRC,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-20,35.8,24.1,30.2,28.3,10.2,19.9,8.8,40.7,0,0,0,,0,0,29.7,19.5,17.3,1032.3,54.7,9.9,93.6,8.2,5,,2022-01-20T07:14:26,2022-01-20T17:26:18,0.6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,KSRC,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-21,35.8,17.8,26.2,33,6.9,17.6,8.6,47.9,0,0,0,,0,0,21.9,12.4,30.9,1033.5,11.4,9.9,96.1,8.4,6,,2022-01-21T07:14:00,2022-01-21T17:27:18,0.63,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72341613925,72340313963,KSGT,KLRF,KSRC,UAPA4,E9770,KLIT,LNKA4,72218853985"
little rock,2022-01-22,44.9,17.7,30.1,44.8,12.7,28.5,14.8,55.9,0,0,0,,0,0,,5.6,174.3,1031.8,16,9.9,92.4,8,5,,2022-01-22T07:13:33,2022-01-22T17:28:19,0.67,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72340313963,KLRF,KSRC,KPBF,UAPA4,E9770,72341793988,KLIT,72218853985,LNKA4"
little rock,2022-01-23,64.8,25.9,42.4,64.8,20.5,39.5,22.9,49.3,0,0,0,,0,0,19.7,14.7,269.7,1020.4,14.6,9.7,98.5,8.6,5,,2022-01-23T07:13:04,2022-01-23T17:29:19,0.7,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72340313963,KLRF,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-24,67.9,31.8,48.9,67.9,30,48.4,32.9,57.3,0,0,0,,0,0,20.8,15.4,233.1,1012.4,41,9.9,96.5,8.3,5,,2022-01-24T07:12:33,2022-01-24T17:30:20,0.74,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72340503930,72340313963,KLRF,KSRC,UAPA4,E9770,KLIT,72218853985,LNKA4"
little rock,2022-01-25,48.7,31.9,42,45.9,22.5,36.2,26.2,54.5,0,0,0,,0,0,21.9,15,39,1022.3,37.2,9.9,85.1,7.3,5,,2022-01-25T07:12:00,2022-01-25T17:31:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KPBF,KLIT,LNKA4,KLRF,KSGT,KSRC,UAPA4,E9770,72341793988,72218853985"
little rock,2022-01-26,39.7,25.9,31.9,37.9,15.6,24.3,9,38.5,0,0,0,,0,0,27.7,16.8,53.9,1031.3,43.2,9.9,104,8.9,5,,2022-01-26T07:11:26,2022-01-26T17:32:21,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-27,48.8,28.8,39,46.3,23.7,35.9,18.2,43.6,0,0,0,,0,0,,12.6,336.8,1027.3,97.6,9.9,81.5,7,4,,2022-01-27T07:10:50,2022-01-27T17:33:22,0.84,Overcast,Cloudy skies throughout the day.,cloudy,"72340503930,72341613925,72340313963,KLRF,KSGT,KSRC,UAPA4,E9770,KLIT,LNKA4,72218853985"
little rock,2022-01-28,51.1,30.8,40.9,51.1,25.1,35.1,19.6,43.7,0,0,0,,0,0,34.9,23.9,326.9,1028.8,48.2,9.9,88.6,7.6,5,,2022-01-28T07:10:12,2022-01-28T17:34:23,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,KSRC,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-29,52,23.8,36.9,52,19.9,33.9,14.5,41.5,0,0,0,,0,0,20.8,12.7,214.3,1025.9,3.4,9.9,105,8.9,6,,2022-01-29T07:09:33,2022-01-29T17:35:24,0.91,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-30,66.6,34.5,47.6,66.6,28.2,45.3,24,43.7,0,0,0,,0,0,,10.1,264.6,1018.2,27.9,9.9,110.3,9.5,6,,2022-01-30T07:08:52,2022-01-30T17:36:25,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,72341793988,KLIT,LNKA4,72218853985"
little rock,2022-01-31,69.9,30.6,50.2,69.9,28.7,49.9,31.2,51.6,0,0,0,,0,0,,13.5,154.6,1017.6,30.8,9.6,105.4,9.2,6,,2022-01-31T07:08:10,2022-01-31T17:37:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-02-01,68,48.8,58,68,48,57.9,45.1,63.4,0.014,100,8.33,rain,0,0,26.2,17.2,137.3,1015.1,94.9,9.5,53.8,4.7,2,,2022-02-01T07:07:25,2022-02-01T17:38:27,0.02,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
