name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New Orleans,2022-01-01,81,75.8,77.9,85.9,75.8,79,72.6,83.8,0,0,0,,0,0,30,17.3,179.4,1010.7,92.8,9,48,4.1,2,,2022-01-01T06:56:17,2022-01-01T17:11:51,0.96,Overcast,Cloudy skies throughout the day.,cloudy,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-02,78.2,37.1,62.1,78.2,28.1,60.1,56.6,82.3,0.214,100,16.67,rain,0,0,32.3,18.4,288.8,1015.1,92.2,9,34.8,3,2,,2022-01-02T06:56:30,2022-01-02T17:12:34,0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,E6362,TS947,K7N0,72231612958"
New Orleans,2022-01-03,49.9,36.1,42.4,47.1,28.6,37.8,30.6,63.7,0,0,0,,0,0,23,11.5,350.3,1028.6,47.9,9.9,95.4,8,5,,2022-01-03T06:56:42,2022-01-03T17:13:18,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-04,57.8,38.9,47.6,57.8,34.6,45.9,39.5,74.8,0,0,0,,0,0,,7,73.8,1024.7,17.8,9.5,63.8,5.3,5,,2022-01-04T06:56:52,2022-01-04T17:14:03,0.06,Clear,Clear conditions throughout the day.,clear-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-05,66.8,54,60.7,66.8,54,60.7,51.6,72.5,0,0,0,,0,0,,6.9,118.7,1017,82.8,9.9,40.6,3.5,2,,2022-01-05T06:57:01,2022-01-05T17:14:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-06,74,47,62.6,74,43.1,62.3,56.7,81.5,0.024,100,8.33,rain,0,0,27.7,10.4,149.2,1015,39.8,9.7,69.1,6.2,4,,2022-01-06T06:57:08,2022-01-06T17:15:35,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-07,54.1,40.9,46.7,54.1,36.3,43.7,39,74.6,0,0,0,,0,0,19.7,13.9,42.7,1023.9,73,9.9,56.2,4.7,2,,2022-01-07T06:57:13,2022-01-07T17:16:22,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-08,67.9,55.1,61.3,67.9,55.1,61.3,55.5,81.4,0,0,0,,0,0,17.2,11.4,88,1024,62.6,9.8,49.8,4.3,2,,2022-01-08T06:57:16,2022-01-08T17:17:10,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,E6362,TS947,K7N0,72231612958"
New Orleans,2022-01-09,80.1,66.8,72,83.1,66.8,72.3,66.5,83.9,0,0,0,,0,0,24.2,11.5,166.1,1022.9,79.8,7.4,58,5.1,3,,2022-01-09T06:57:18,2022-01-09T17:17:58,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
New Orleans,2022-01-10,65,48.8,54.3,65,43.7,53.4,37.7,57.8,0.031,100,4.17,rain,0,0,30.1,13.9,13.5,1029.8,37.6,9.9,70.5,6.1,4,10,2022-01-10T06:57:19,2022-01-10T17:18:47,0.26,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KNEW,72231553917,F1622,KMSY,KNBG,TS947,K7N0,72231612958"
